filename, language, XML, JSON, Markdown, PHP, Batch, CSS, JavaScript, YAML, Properties, HTML, comment, blank, total
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\CopyrightElement.php, PHP, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 4, 26
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ElementCollection.php, PHP, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 19, 12, 59
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ExtElement.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 8, 3, 18
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ExtElementCollection.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 4, 21
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ExtensionElement.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\LicenseElement.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 4, 22
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ManifestDocument.php, PHP, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 23, 24, 119
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ManifestDocumentLoadingException.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 19, 7, 49
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\ManifestElement.php, PHP, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 42, 15, 101
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\PhpElement.php, PHP, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 5, 28
c:\xamppp\htdocs\petcustoms\vendor\phar-io\manifest\src\xml\RequiresElement.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 3, 20
